country_name,country,year,gdp
Aruba,ABW,1960,
Afghanistan,AFG,1960,537777811.1
Angola,AGO,1960,
Albania,ALB,1960,
Andorra,AND,1960,
Arab World,ARB,1960,
United Arab Emirates,ARE,1960,
Argentina,ARG,1960,
Armenia,ARM,1960,
American Samoa,ASM,1960,
Antigua and Barbuda,ATG,1960,
Australia,AUS,1960,18577668272.0
Austria,AUT,1960,6592693841.0
Azerbaijan,AZE,1960,
Burundi,BDI,1960,195999990.0
Belgium,BEL,1960,11658722591.0
Benin,BEN,1960,226195579.4
Burkina Faso,BFA,1960,330442817.2
Bangladesh,BGD,1960,4274893913.0
Bulgaria,BGR,1960,
Bahrain,BHR,1960,
"Bahamas, The",BHS,1960,169803921.6
Bosnia and Herzegovina,BIH,1960,
Belarus,BLR,1960,
Belize,BLZ,1960,28071888.56
Bermuda,BMU,1960,84466654.08
Bolivia,BOL,1960,373879363.6
Brazil,BRA,1960,15165569913.0
Barbados,BRB,1960,
Brunei Darussalam,BRN,1960,
Bhutan,BTN,1960,
Botswana,BWA,1960,30412308.99
Central African Republic,CAF,1960,112155598.9
Canada,CAN,1960,40461721693.0
Central Europe and the Baltics,CEB,1960,
Switzerland,CHE,1960,9522746719.0
Channel Islands,CHI,1960,
Chile,CHL,1960,4110000000.0
China,CHN,1960,59716467625.0
Cote d'Ivoire,CIV,1960,546203561.6
Cameroon,CMR,1960,618740988.0
"Congo, Dem. Rep.",COD,1960,3359404118.0
"Congo, Rep.",COG,1960,131731862.6
Colombia,COL,1960,4031152977.0
Comoros,COM,1960,
Cabo Verde,CPV,1960,
Costa Rica,CRI,1960,507513830.0
Caribbean small states,CSS,1960,1875461583.0
Cuba,CUB,1960,
Curacao,CUW,1960,
Cayman Islands,CYM,1960,
Cyprus,CYP,1960,
Czech Republic,CZE,1960,
Germany,DEU,1960,
Djibouti,DJI,1960,
Dominica,DMA,1960,
Denmark,DNK,1960,
Dominican Republic,DOM,1960,672399700.0
Algeria,DZA,1960,2723648552.0
East Asia & Pacific (excluding high income),EAP,1960,80254555640.0
Early-demographic dividend,EAR,1960,153000000000.0
East Asia & Pacific,EAS,1960,153000000000.0
Europe & Central Asia (excluding high income),ECA,1960,
Europe & Central Asia,ECS,1960,
Ecuador,ECU,1960,2069465326.0
"Egypt, Arab Rep.",EGY,1960,
Euro area,EMU,1960,245000000000.0
Eritrea,ERI,1960,
Spain,ESP,1960,12072126075.0
Estonia,EST,1960,
Ethiopia,ETH,1960,
European Union,EUU,1960,364000000000.0
Fragile and conflict affected situations,FCS,1960,
Finland,FIN,1960,5224102196.0
Fiji,FJI,1960,112328422.1
France,FRA,1960,62225478001.0
Faroe Islands,FRO,1960,
"Micronesia, Fed. Sts.",FSM,1960,
Gabon,GAB,1960,141468977.6
United Kingdom,GBR,1960,73233967692.0
Georgia,GEO,1960,
Ghana,GHA,1960,1217230038.0
Gibraltar,GIB,1960,
Guinea,GIN,1960,
"Gambia, The",GMB,1960,
Guinea-Bissau,GNB,1960,
Equatorial Guinea,GNQ,1960,
Greece,GRC,1960,4335186017.0
Grenada,GRD,1960,
Greenland,GRL,1960,
Guatemala,GTM,1960,1043599900.0
Guam,GUM,1960,
Guyana,GUY,1960,170215248.2
High income,HIC,1960,1060000000000.0
"Hong Kong SAR, China",HKG,1960,1320796652.0
Honduras,HND,1960,335650000.0
Heavily indebted poor countries (HIPC),HPC,1960,17337743882.0
Croatia,HRV,1960,
Haiti,HTI,1960,273187200.0
Hungary,HUN,1960,
IBRD only,IBD,1960,304000000000.0
IDA & IBRD total,IBT,1960,341000000000.0
IDA total,IDA,1960,38086918428.0
IDA blend,IDB,1960,12276346524.0
Indonesia,IDN,1960,
IDA only,IDX,1960,26691452399.0
Isle of Man,IMN,1960,
India,IND,1960,37029883875.0
Not classified,INX,1960,
Ireland,IRL,1960,1939329775.0
"Iran, Islamic Rep.",IRN,1960,4199134390.0
Iraq,IRQ,1960,1684121535.0
