country_name,country,year,gdp
Aruba,ABW,1960,
Afghanistan,AFG,1960,59.77319384
Angola,AGO,1960,
Albania,ALB,1960,
Andorra,AND,1960,
Arab World,ARB,1960,
United Arab Emirates,ARE,1960,
Argentina,ARG,1960,
Armenia,ARM,1960,
American Samoa,ASM,1960,
Antigua and Barbuda,ATG,1960,
Australia,AUS,1960,1807.78571
Austria,AUT,1960,935.4604268999999
Azerbaijan,AZE,1960,
Burundi,BDI,1960,70.05173464
Belgium,BEL,1960,1273.691659
Benin,BEN,1960,93.02250899
Burkina Faso,BFA,1960,68.42474857
Bangladesh,BGD,1960,89.03524128
Bulgaria,BGR,1960,
Bahrain,BHR,1960,
"Bahamas, The",BHS,1960,1550.239392
Bosnia and Herzegovina,BIH,1960,
Belarus,BLR,1960,
Belize,BLZ,1960,304.91710730000005
Bermuda,BMU,1960,1902.402119
Bolivia,BOL,1960,102.2378902
Brazil,BRA,1960,210.1098994
Barbados,BRB,1960,
Brunei Darussalam,BRN,1960,
Bhutan,BTN,1960,
Botswana,BWA,1960,60.49251407
Central African Republic,CAF,1960,74.68734697
Canada,CAN,1960,2259.294285
Central Europe and the Baltics,CEB,1960,
Switzerland,CHE,1960,1787.3603480000002
Channel Islands,CHI,1960,
Chile,CHL,1960,505.34920120000004
China,CHN,1960,89.52054151
Cote d'Ivoire,CIV,1960,155.89989980000001
Cameroon,CMR,1960,119.51917879999999
"Congo, Dem. Rep.",COD,1960,220.31406209999997
"Congo, Rep.",COG,1960,129.3704635
Colombia,COL,1960,251.0413665
Comoros,COM,1960,
Cabo Verde,CPV,1960,
Costa Rica,CRI,1960,381.3651146
Caribbean small states,CSS,1960,447.1016073
Cuba,CUB,1960,
Curacao,CUW,1960,
Cayman Islands,CYM,1960,
Cyprus,CYP,1960,
Czech Republic,CZE,1960,
Germany,DEU,1960,
Djibouti,DJI,1960,
Dominica,DMA,1960,
Denmark,DNK,1960,
Dominican Republic,DOM,1960,204.11474750000002
Algeria,DZA,1960,246.3087625
East Asia & Pacific (excluding high income),EAP,1960,89.68190884
Early-demographic dividend,EAR,1960,155.8158071
East Asia & Pacific,EAS,1960,147.2289997
Europe & Central Asia (excluding high income),ECA,1960,
Europe & Central Asia,ECS,1960,
Ecuador,ECU,1960,455.46158679999996
"Egypt, Arab Rep.",EGY,1960,
Euro area,EMU,1960,923.4242473999999
Eritrea,ERI,1960,
Spain,ESP,1960,396.39225330000005
Estonia,EST,1960,
Ethiopia,ETH,1960,
European Union,EUU,1960,1021.132607
Fragile and conflict affected situations,FCS,1960,
Finland,FIN,1960,1179.353011
Fiji,FJI,1960,285.47356060000004
France,FRA,1960,1334.6900560000001
Faroe Islands,FRO,1960,
"Micronesia, Fed. Sts.",FSM,1960,
Gabon,GAB,1960,282.4137951
United Kingdom,GBR,1960,1397.594803
Georgia,GEO,1960,
Ghana,GHA,1960,183.4495622
Gibraltar,GIB,1960,
Guinea,GIN,1960,
"Gambia, The",GMB,1960,
Guinea-Bissau,GNB,1960,
Equatorial Guinea,GNQ,1960,
Greece,GRC,1960,520.3227443
Grenada,GRD,1960,
Greenland,GRL,1960,
Guatemala,GTM,1960,247.84198619999998
Guam,GUM,1960,
Guyana,GUY,1960,297.67329910000007
High income,HIC,1960,1396.9581130000001
"Hong Kong SAR, China",HKG,1960,429.4428744
Honduras,HND,1960,164.6447225
Heavily indebted poor countries (HIPC),HPC,1960,107.19889209999998
Croatia,HRV,1960,
Haiti,HTI,1960,70.66113939
Hungary,HUN,1960,
IBRD only,IBD,1960,160.3062878
IDA & IBRD total,IBT,1960,149.6884186
IDA total,IDA,1960,99.41728464
IDA blend,IDB,1960,99.08978659
Indonesia,IDN,1960,
IDA only,IDX,1960,102.97213609999999
Isle of Man,IMN,1960,
India,IND,1960,82.18860201
Not classified,INX,1960,
Ireland,IRL,1960,685.6147124
"Iran, Islamic Rep.",IRN,1960,191.68078119999998
Iraq,IRQ,1960,231.0256489
Iceland,ISL,1960,1414.9822689999999
Israel,ISR,1960,1229.1747480000001
Italy,ITA,1960,804.4926232999999
Jamaica,JAM,1960,429.2552004
Jordan,JOR,1960,
Japan,JPN,1960,478.9953402
Kazakhstan,KAZ,1960,
Kenya,KEN,1960,97.44552502
Kyrgyz Republic,KGZ,1960,
Cambodia,KHM,1960,111.3424797
Kiribati,KIR,1960,
St. Kitts and Nevis,KNA,1960,241.5580352
"Korea, Rep.",KOR,1960,158.21130219999998
Kuwait,KWT,1960,
Latin America & Caribbean (excluding high income),LAC,1960,358.2097992
Lao PDR,LAO,1960,
Lebanon,LBN,1960,
Liberia,LBR,1960,
Libya,LBY,1960,
St. Lucia,LCA,1960,
Latin America & Caribbean,LCN,1960,371.12604369999997
Least developed countries: UN classification,LDC,1960,
Low income,LIC,1960,
Liechtenstein,LIE,1960,
Sri Lanka,LKA,1960,142.7796219
Lower middle income,LMC,1960,
Low & middle income,LMY,1960,145.51512250000002
Lesotho,LSO,1960,41.30006857
Late-demographic dividend,LTE,1960,169.48606189999998
Lithuania,LTU,1960,
Luxembourg,LUX,1960,2242.015817
Latvia,LVA,1960,
"Macao SAR, China",MAC,1960,
St. Martin (French part),MAF,1960,
Morocco,MAR,1960,164.800779
Monaco,MCO,1960,
Moldova,MDA,1960,
Madagascar,MDG,1960,131.99303600000002
Maldives,MDV,1960,
Middle East & North Africa,MEA,1960,
Mexico,MEX,1960,345.2305591
Marshall Islands,MHL,1960,
Middle income,MIC,1960,150.214786
North Macedonia,MKD,1960,
Mali,MLI,1960,
Malta,MLT,1960,
Myanmar,MMR,1960,
Middle East & North Africa (excluding high income),MNA,1960,
Montenegro,MNE,1960,
Mongolia,MNG,1960,
Northern Mariana Islands,MNP,1960,
Mozambique,MOZ,1960,
Mauritania,MRT,1960,108.90285290000001
Mauritius,MUS,1960,
Malawi,MWI,1960,44.52389433
Malaysia,MYS,1960,234.9387534
North America,NAC,1960,2939.448335
Namibia,NAM,1960,
New Caledonia,NCL,1960,
Niger,NER,1960,132.6521624
Nigeria,NGA,1960,92.96046972
Nicaragua,NIC,1960,126.24838159999999
Netherlands,NLD,1960,1068.7845869999999
Norway,NOR,1960,1441.75566
Nepal,NPL,1960,50.3049875
Nauru,NRU,1960,
New Zealand,NZL,1960,2312.9499920000003
OECD members,OED,1960,1354.045051
Oman,OMN,1960,
Other small states,OSS,1960,
Pakistan,PAK,1960,82.39972982
Panama,PAN,1960,474.0940178999999
Peru,PER,1960,253.2648216
Philippines,PHL,1960,254.45894520000002
Palau,PLW,1960,
Papua New Guinea,PNG,1960,102.17661340000001
Poland,POL,1960,
Pre-demographic dividend,PRE,1960,59.36169318
Puerto Rico,PRI,1960,717.5148431
"Korea, Dem. People?s Rep.",PRK,1960,
Portugal,PRT,1960,360.4992985
Paraguay,PRY,1960,
West Bank and Gaza,PSE,1960,
Pacific island small states,PSS,1960,
Post-demographic dividend,PST,1960,1381.46716
French Polynesia,PYF,1960,
Qatar,QAT,1960,
Romania,ROU,1960,
Russian Federation,RUS,1960,
Rwanda,RWA,1960,40.53711462
South Asia,SAS,1960,82.28028177
Saudi Arabia,SAU,1960,
Sudan,SDN,1960,125.8598511
Senegal,SEN,1960,312.9937437
Singapore,SGP,1960,428.05897999999996
Solomon Islands,SLB,1960,
Sierra Leone,SLE,1960,138.9387598
El Salvador,SLV,1960,
San Marino,SMR,1960,
Somalia,SOM,1960,65.47959732
Serbia,SRB,1960,
Sub-Saharan Africa (excluding high income),SSA,1960,131.46453689999998
South Sudan,SSD,1960,
Sub-Saharan Africa,SSF,1960,131.48895919999998
Small states,SST,1960,
Sao Tome and Principe,STP,1960,
Suriname,SUR,1960,346.1619962
Slovak Republic,SVK,1960,
Slovenia,SVN,1960,
Sweden,SWE,1960,2114.002973
Eswatini,SWZ,1960,104.2125077
Sint Maarten (Dutch part),SXM,1960,
Seychelles,SYC,1960,288.05815939999997
Syrian Arab Republic,SYR,1960,187.5373743
Turks and Caicos Islands,TCA,1960,
Chad,TCD,1960,104.47154429999999
East Asia & Pacific (IDA & IBRD countries),TEA,1960,90.65539311
Europe & Central Asia (IDA & IBRD countries),TEC,1960,
Togo,TGO,1960,76.63845417
Thailand,THA,1960,100.7674787
Tajikistan,TJK,1960,
Turkmenistan,TKM,1960,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,365.5434522
Timor-Leste,TLS,1960,
Middle East & North Africa (IDA & IBRD countries),TMN,1960,
Tonga,TON,1960,
South Asia (IDA & IBRD),TSA,1960,82.28028177
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,131.48895919999998
Trinidad and Tobago,TTO,1960,631.702115
Tunisia,TUN,1960,
Turkey,TUR,1960,509.4238522
Tuvalu,TUV,1960,
Tanzania,TZA,1960,
Uganda,UGA,1960,62.50959766
Ukraine,UKR,1960,
Upper middle income,UMC,1960,193.5237238
Uruguay,URY,1960,489.35168880000003
United States,USA,1960,3007.1234449999997
Uzbekistan,UZB,1960,
St. Vincent and the Grenadines,VCT,1960,161.3613468
"Venezuela, RB",VEN,1960,955.4461833999999
British Virgin Islands,VGB,1960,
Virgin Islands (U.S.),VIR,1960,
Vietnam,VNM,1960,
Vanuatu,VUT,1960,
World,WLD,1960,452.74935610000006
Samoa,WSM,1960,
Kosovo,XKX,1960,
"Yemen, Rep.",YEM,1960,
South Africa,ZAF,1960,443.009816
Zambia,ZMB,1960,232.18886690000002
Zimbabwe,ZWE,1960,278.81369910000006
Aruba,ABW,1961,
Afghanistan,AFG,1961,59.86087388
Angola,AGO,1961,
Albania,ALB,1961,
Andorra,AND,1961,
Arab World,ARB,1961,
United Arab Emirates,ARE,1961,
Argentina,ARG,1961,
Armenia,ARM,1961,
American Samoa,ASM,1961,
Antigua and Barbuda,ATG,1961,
Australia,AUS,1961,1874.732106
Austria,AUT,1961,1031.8150039999998
Azerbaijan,AZE,1961,
Burundi,BDI,1961,71.16718821
Belgium,BEL,1961,1350.1976730000001
Benin,BEN,1961,95.57215471
Burkina Faso,BFA,1961,71.55818009
Bangladesh,BGD,1961,97.59527391
Bulgaria,BGR,1961,
Bahrain,BHR,1961,
"Bahamas, The",BHS,1961,1651.288985
Bosnia and Herzegovina,BIH,1961,
Belarus,BLR,1961,
Belize,BLZ,1961,316.40360610000005
Bermuda,BMU,1961,1961.5381690000002
Bolivia,BOL,1961,109.06101149999999
Brazil,BRA,1961,205.04076830000002
Barbados,BRB,1961,
Brunei Darussalam,BRN,1961,
Bhutan,BTN,1961,
Botswana,BWA,1961,64.1765151
Central African Republic,CAF,1961,80.68758787
Canada,CAN,1961,2240.433039
Central Europe and the Baltics,CEB,1961,
Switzerland,CHE,1961,1971.316323
Channel Islands,CHI,1961,
Chile,CHL,1961,555.1339346
China,CHN,1961,75.80583793
Cote d'Ivoire,CIV,1961,170.24276919999997
Cameroon,CMR,1961,124.42672990000001
"Congo, Dem. Rep.",COD,1961,197.3913718
"Congo, Rep.",COG,1961,145.4063969
Colombia,COL,1961,274.05236339999993
Comoros,COM,1961,
Cabo Verde,CPV,1961,
Costa Rica,CRI,1961,355.0037769
Caribbean small states,CSS,1961,475.6718738
Cuba,CUB,1961,
Curacao,CUW,1961,
Cayman Islands,CYM,1961,
Cyprus,CYP,1961,
Czech Republic,CZE,1961,
Germany,DEU,1961,
Djibouti,DJI,1961,
Dominica,DMA,1961,
Denmark,DNK,1961,
Dominican Republic,DOM,1961,192.02772530000001
Algeria,DZA,1961,214.77627349999997
East Asia & Pacific (excluding high income),EAP,1961,78.76001882
Early-demographic dividend,EAR,1961,152.9091563
East Asia & Pacific,EAS,1961,147.1531761
Europe & Central Asia (excluding high income),ECA,1961,
Europe & Central Asia,ECS,1961,
Ecuador,ECU,1961,375.22162569999995
"Egypt, Arab Rep.",EGY,1961,
Euro area,EMU,1961,1005.280058
Eritrea,ERI,1961,
Spain,ESP,1961,450.0532892
Estonia,EST,1961,
Ethiopia,ETH,1961,
European Union,EUU,1961,1100.468135
Fragile and conflict affected situations,FCS,1961,
Finland,FIN,1961,1327.427224
Fiji,FJI,1961,287.263529
France,FRA,1961,1428.0454869999999
Faroe Islands,FRO,1961,
"Micronesia, Fed. Sts.",FSM,1961,
Gabon,GAB,1961,331.431868
United Kingdom,GBR,1961,1472.385714
Georgia,GEO,1961,
Ghana,GHA,1961,190.2187719
Gibraltar,GIB,1961,
Guinea,GIN,1961,
"Gambia, The",GMB,1961,
Guinea-Bissau,GNB,1961,
Equatorial Guinea,GNQ,1961,
Greece,GRC,1961,590.7800547999999
Grenada,GRD,1961,
Greenland,GRL,1961,
Guatemala,GTM,1961,248.3082085
Guam,GUM,1961,
Guyana,GUY,1961,315.3854595
High income,HIC,1961,1456.985046
"Hong Kong SAR, China",HKG,1961,436.7544115
Honduras,HND,1961,169.909593
Heavily indebted poor countries (HIPC),HPC,1961,107.51885990000001
Croatia,HRV,1961,
Haiti,HTI,1961,68.76454866
Hungary,HUN,1961,
IBRD only,IBD,1961,151.3651906
IDA & IBRD total,IBT,1961,143.0413476
IDA total,IDA,1961,102.4657097
IDA blend,IDB,1961,103.39439399999999
Indonesia,IDN,1961,
IDA only,IDX,1961,105.4078409
Isle of Man,IMN,1961,
India,IND,1961,85.35430117
Not classified,INX,1961,
Ireland,IRL,1961,739.2764063999999
"Iran, Islamic Rep.",IRN,1961,196.92508180000002
Iraq,IRQ,1961,245.0320539
Iceland,ISL,1961,1418.1258699999998
Israel,ISR,1961,1436.3844390000002
Italy,ITA,1961,887.3367446000001
Jamaica,JAM,1961,453.05618799999996
Jordan,JOR,1961,
Japan,JPN,1961,563.5867598
Kazakhstan,KAZ,1961,
Kenya,KEN,1961,94.65125879
Kyrgyz Republic,KGZ,1961,
Cambodia,KHM,1961,109.4603875
Kiribati,KIR,1961,
St. Kitts and Nevis,KNA,1961,243.85117409999998
"Korea, Rep.",KOR,1961,93.83175915
Kuwait,KWT,1961,
Latin America & Caribbean (excluding high income),LAC,1961,364.41566
Lao PDR,LAO,1961,
Lebanon,LBN,1961,
Liberia,LBR,1961,
Libya,LBY,1961,
St. Lucia,LCA,1961,
Latin America & Caribbean,LCN,1961,382.35602539999996
Least developed countries: UN classification,LDC,1961,
Low income,LIC,1961,
Liechtenstein,LIE,1961,
Sri Lanka,LKA,1961,142.8381706
Lower middle income,LMC,1961,
Low & middle income,LMY,1961,138.3140856
Lesotho,LSO,1961,41.85684674
Late-demographic dividend,LTE,1961,156.16537399999999
Lithuania,LTU,1961,
Luxembourg,LUX,1961,2222.366366
Latvia,LVA,1961,
"Macao SAR, China",MAC,1961,
St. Martin (French part),MAF,1961,
Morocco,MAR,1961,158.9236674
Monaco,MCO,1961,
Moldova,MDA,1961,
Madagascar,MDG,1961,133.8475815
Maldives,MDV,1961,
Middle East & North Africa,MEA,1961,
Mexico,MEX,1961,363.39320560000004
Marshall Islands,MHL,1961,
Middle income,MIC,1961,142.6134093
North Macedonia,MKD,1961,
Mali,MLI,1961,
Malta,MLT,1961,
Myanmar,MMR,1961,
Middle East & North Africa (excluding high income),MNA,1961,
Montenegro,MNE,1961,
Mongolia,MNG,1961,
Northern Mariana Islands,MNP,1961,
Mozambique,MOZ,1961,
Mauritania,MRT,1961,123.033969
Mauritius,MUS,1961,
Malawi,MWI,1961,46.58164732
Malaysia,MYS,1961,225.93351299999998
North America,NAC,1961,2991.592897
Namibia,NAM,1961,
New Caledonia,NCL,1961,
Niger,NER,1961,139.3401635
Nigeria,NGA,1961,96.97904472
Nicaragua,NIC,1961,131.4502215
Netherlands,NLD,1961,1159.392357
Norway,NOR,1961,1560.324931
Nepal,NPL,1961,51.81122854
Nauru,NRU,1961,
New Zealand,NZL,1961,2343.2922129999997
OECD members,OED,1961,1401.654334
Oman,OMN,1961,
Other small states,OSS,1961,
Pakistan,PAK,1961,88.01864428
Panama,PAN,1961,513.2547576999999
Peru,PER,1961,277.5687103
Philippines,PHL,1961,267.1828875
Palau,PLW,1961,
Papua New Guinea,PNG,1961,106.5850007
Poland,POL,1961,
Pre-demographic dividend,PRE,1961,60.04165734
Puerto Rico,PRI,1961,777.2150274
"Korea, Dem. People?s Rep.",PRK,1961,
Portugal,PRT,1961,382.72994700000004
Paraguay,PRY,1961,
West Bank and Gaza,PSE,1961,
Pacific island small states,PSS,1961,
Post-demographic dividend,PST,1961,1440.03316
French Polynesia,PYF,1961,
Qatar,QAT,1961,
Romania,ROU,1961,
Russian Federation,RUS,1961,
Rwanda,RWA,1961,40.68939024
South Asia,SAS,1961,85.94576455
Saudi Arabia,SAU,1961,
Sudan,SDN,1961,133.0822086
