UNU_Key,IntroductionYear
1,1960
2,1990
101,1960
102,1970
103,1960
104,1960
105,1978
106,1970
108,1960
109,1974
111,1980
112,1977
113,1960
114,1985
201,1960
202,1970
203,1970
204,1960
205,1960
301,1980
302,1983
303,1981
304,1970
305,1960
306,1985
307,1990
308,1980
309,1980
401,1970
402,1960
403,1960
404,1984
405,1960
406,1985
407,1960
408,2000
501,1970
502,1988
503,1960
504,1960
505,2004
506,1960
507,1960
601,1960
602,1960
701,1960
702,1985
703,1975
801,1970
802,1970
901,1960
902,1970
1001,1960
1002,1970
