UNU_Key,Country,AverageWeight,Year
702,,0.48,2014
703,,7.37,2014
801,,0.18,2014
802,,67.04,2014
901,,0.24,2014
902,,5.51,2014
112,,41.7,2014
113,,110.1,2014
114,,22.9,2014
2,,17,2014
109,,44.05,2009
111,,26.7,2009
201,,1.01,2009
202,,3.27,2009
203,,1.89,2009
204,,5.8,2009
205,,0.55,2009
301,,0.41,2009
302,,8.88,2009
303,,2.43,2009
304,,10.08,2009
305,,0.47,2009
306,,0.09,2009
307,,40,2009
308,,21.47,2009
309,,5.46,2009
401,,0.39,2009
402,,0.24,2009
403,,3.76,2009
404,,3.51,2009
405,,2.2,2009
406,,0.34,2009
407,,32.61,2009
408,,14.15,2009
501,,0.09,2009
502,,0.08,2009
505,,0.08,2009
504,,0.07,2009
503,,0.11,2009
506,,0.45,2009
507,,2.67,2009
701,,0.45,2009
702,,0.48,2009
703,,7.37,2009
801,,0.18,2009
802,,67.04,2009
901,,0.24,2009
902,,5.51,2009
1001,,44,2009
1002,,92.22,2009
1,,30.85,2010
1001,,44,2010
1002,,92.22,2010
101,,124.61,2010
102,,43.3,2010
103,,47.66,2010
104,,72.54,2010
105,,45.98,2010
106,,12.14,2010
108,,40.79,2010
109,,44.09,2010
111,,26.7,2010
201,,0.99,2010
202,,3.27,2010
203,,1.89,2010
204,,5.88,2010
205,,0.55,2010
301,,0.4,2010
302,,8.77,2010
303,,2.28,2010
304,,10.32,2010
305,,0.45,2010
306,,0.09,2010
307,,40,2010
308,,22,2010
309,,5.5,2010
401,,0.39,2010
402,,0.23,2010
403,,3.73,2010
404,,3.51,2010
405,,2.14,2010
406,,0.29,2010
407,,33.2,2010
408,,14.7,2010
501,,0.09,2010
502,,0.08,2010
505,,0.08,2010
504,,0.07,2010
503,,0.11,2010
506,,0.45,2010
507,,2.67,2010
701,,0.45,2010
702,,0.48,2010
703,,7.37,2010
103,,46,2006
103,,46.41,2007
103,,46.83,2008
104,,69.36,1993
104,,69.36,1994
104,,69.36,1995
104,,69.36,1996
104,,69.58,1997
104,,69.81,1998
104,,70.04,1999
104,,70.26,2000
104,,70.49,2001
104,,70.72,2002
104,,70.95,2003
104,,71.17,2004
104,,71.4,2005
104,,71.63,2006
104,,71.85,2007
104,,72.08,2008
105,,38.27,1993
105,,38.27,1994
105,,38.27,1995
105,,38.27,1996
105,,38.82,1997
105,,39.37,1998
105,,39.92,1999
105,,40.47,2000
105,,41.02,2001
105,,41.57,2002
105,,42.12,2003
105,,42.67,2004
105,,43.22,2005
105,,43.77,2006
105,,44.32,2007
105,,44.87,2008
106,,12.14,1993
106,,12.14,1994
106,,12.14,1995
106,,12.14,1996
106,,12.14,1997
106,,12.14,1998
106,,12.14,1999
106,,12.14,2000
106,,12.14,2001
106,,12.14,2002
106,,12.14,2003
106,,12.14,2004
106,,12.14,2005
106,,12.14,2006
106,,12.14,2007
106,,12.14,2008
108,,33.59,1993
108,,33.59,1994
108,,33.59,1995
108,,33.59,1996
108,,34.1,1997
108,,34.61,1998
108,,35.13,1999
108,,35.64,2000
108,,36.16,2001
108,,36.67,2002
108,,37.19,2003
108,,37.7,2004
108,,38.21,2005
108,,38.73,2006
108,,39.24,2007
108,,39.76,2008
109,,43.59,1993
109,,43.59,1994
109,,43.59,1995
109,,43.59,1996
109,,43.62,1997
109,,43.66,1998
109,,43.69,1999
109,,43.73,2000
109,,43.76,2001
109,,43.8,2002
109,,43.84,2003
109,,43.87,2004
109,,43.91,2005
109,,43.94,2006
109,,43.98,2007
109,,44.01,2008
111,,26.7,1993
111,,26.7,1994
111,,26.7,1995
111,,26.7,1996
111,,26.7,1997
111,,26.7,1998
111,,26.7,1999
111,,26.7,2000
111,,26.7,2001
111,,26.7,2002
111,,26.7,2003
111,,26.7,2004
111,,26.7,2005
111,,26.7,2006
111,,26.7,2007
111,,26.7,2008
201,,1.3,1993
201,,1.3,1994
201,,1.3,1995
201,,1.3,1996
201,,1.27,1997
201,,1.25,1998
201,,1.23,1999
201,,1.21,2000
201,,1.18,2001
201,,1.16,2002
201,,1.14,2003
201,,1.12,2004
201,,1.1,2005
201,,1.07,2006
201,,1.05,2007
201,,1.03,2008
202,,3.27,1993
202,,3.27,1994
202,,3.27,1995
202,,3.27,1996
202,,3.27,1997
202,,3.27,1998
202,,3.27,1999
202,,3.27,2000
202,,3.27,2001
202,,3.27,2002
202,,3.27,2003
202,,3.27,2004
202,,3.27,2005
202,,3.27,2006
202,,3.27,2007
202,,3.27,2008
203,,1.89,1993
203,,1.89,1994
203,,1.89,1995
203,,1.89,1996
203,,1.89,1997
203,,1.89,1998
203,,1.89,1999
203,,1.89,2000
203,,1.89,2001
203,,1.89,2002
203,,1.89,2003
203,,1.89,2004
203,,1.89,2005
203,,1.89,2006
203,,1.89,2007
203,,1.89,2008
204,,4.88,1993
204,,4.88,1994
204,,4.88,1995
204,,4.88,1996
204,,4.95,1997
204,,5.02,1998
